rooms,area_total,area_living,area_kitchen,floor,floors_total,floor_ratio,building_year,building_age,company_ad,is_first_floor,is_last_floor,is_single_floor,has_furniture,has_appliances,has_balcony_text,has_parking,has_concierge,has_elevator,no_animals,renovation_euro,renovation_cosmetic,renovation_none,owner_rents,metro_nearby,metro_distance,month,day_of_week,is_weekend,days_since_listed,has_area_living,has_area_kitchen,has_building_year,has_floor_info,has_contact,price_usd,source,address,ad_link,metro_station,building_decade,price_per_m2
3.0,50.0,,,2.0,23.0,0.08695652173913043,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.2744795371498,6.0,2.0,0,3.0,0,0,0,1,1,500.0,kufar,"Павла Шпилевского ул, 57, Минск",https://re.kufar.by/vi/1074521709,Слуцкий гостинец,,10.0
,68.6,,,8.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,465.17758164649985,6.0,2.0,0,3.0,0,0,0,0,1,650.0,kufar,"Скрыганова ул, 2, Минск",https://re.kufar.by/vi/1072045295,Молодёжная,,9.475218658892128
3.0,48.0,,7.0,9.0,9.0,1.0,1980.0,46.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,860.9812910777923,6.0,2.0,0,3.0,0,1,1,1,1,460.0,kufar,"Голубева ул, Минск",https://re.kufar.by/vi/1074520331,Петровщина,1980-е,9.583333333333334
,47.0,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.4441425351924,6.0,2.0,0,3.0,0,0,0,0,1,450.0,kufar,"Логойский тракт, 6, Минск",https://re.kufar.by/vi/1074520018,Парк Челюскинцев,,9.574468085106384
3.0,48.0,30.0,6.0,3.0,5.0,0.6,1975.0,51.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413.8230574537242,6.0,2.0,0,3.0,1,1,1,1,1,390.69,kufar,"Рокоссовского пр, 133, Минск",https://re.kufar.by/vi/1074519568,Партизанская,1970-е,8.139375
2.0,43.0,18.0,9.4,10.0,16.0,0.625,2007.0,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028.1124780909404,6.0,2.0,0,3.0,1,1,1,1,1,400.0,kufar,"Сухаревская ул, 48, Минск",https://re.kufar.by/vi/1074519347,Каменная Горка,2000-е,9.30232558139535
2.0,34.0,16.8,7.1,7.0,9.0,0.7777777777777778,1982.0,44.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.5254749170847,6.0,2.0,0,3.0,1,1,1,1,1,390.69,kufar,"Алтайская ул, 90к1, Минск",https://re.kufar.by/vi/1074518451,Могилёвская,1980-е,11.490882352941176
,52.0,,,5.0,9.0,0.5555555555555556,,,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.041109872586,6.0,2.0,0,3.0,0,0,0,1,1,450.0,kufar,"Тикоцкого ул, 40, Минск",https://re.kufar.by/vi/1074517976,Восток,,8.653846153846153
2.0,42.0,39.0,,4.0,25.0,0.16,2021.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.5658635044025,6.0,2.0,0,3.0,1,0,1,1,1,800.0,kufar,"Макаёнка ул, 12Л, Минск",https://re.kufar.by/vi/1058303976,Парк Челюскинцев,2020-е,19.047619047619047
2.0,41.0,37.0,,7.0,25.0,0.28,2020.0,6.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.4688390819523,6.0,2.0,0,3.0,1,0,1,1,1,800.0,kufar,"Макаёнка ул, 12Е, Минск",https://re.kufar.by/vi/1058305156,Московская,2020-е,19.51219512195122
2.0,45.9,18.5,13.5,6.0,16.0,0.375,2013.0,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.6599877683518,6.0,2.0,0,3.0,1,1,1,1,1,450.0,kufar,"Сергея Есенина ул, 19Б, Минск",https://re.kufar.by/vi/1070415721,Малиновка,2010-е,9.803921568627452
,50.0,30.0,8.0,15.0,16.0,0.9375,1983.0,43.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2515.5339980633426,6.0,2.0,0,3.0,1,1,1,1,1,497.25,kufar,"Малинина ул, 14, Минск",https://re.kufar.by/vi/1074517796,Автозаводская,1980-е,9.945
5.0,59.0,50.0,12.0,7.0,13.0,0.5384615384615384,2025.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.1304035022578,6.0,2.0,0,3.0,1,1,1,1,1,850.0,kufar,"Игоря Лученка ул, 16, Минск",https://re.kufar.by/vi/1073197119,Аэродромная,2020-е,14.40677966101695
2.0,55.0,,,3.0,25.0,0.12,2018.0,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3743.101545419335,6.0,2.0,0,3.0,0,0,1,1,1,850.0,kufar,"Мястровская ул, 28, Минск",https://re.kufar.by/vi/1074517637,Кунцевщина,2010-е,15.454545454545455
,44.7,39.6,,23.0,25.0,0.92,2022.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.6719172876409,6.0,2.0,0,3.0,1,0,1,1,1,700.0,kufar,"Братская ул, 1, Минск",https://re.kufar.by/vi/1054074077,Аэродромная,2020-е,15.659955257270692
2.0,45.0,29.0,10.0,3.0,12.0,0.25,1997.0,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.1684207242507,6.0,2.0,0,3.0,1,1,1,1,1,426.21,kufar,"Одинцова ул, 69, Минск",https://re.kufar.by/vi/1074517563,Каменная Горка,1990-е,9.471333333333332
1.0,63.1,43.4,,1.0,9.0,0.1111111111111111,1992.0,34.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2699.459058579013,6.0,2.0,0,3.0,1,0,1,1,1,400.0,kufar,"Рафиева ул, 101, Минск",https://re.kufar.by/vi/1074516785,Малиновка,1990-е,6.3391442155309035
2.0,42.0,,,11.0,17.0,0.6470588235294118,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.542448872161,6.0,2.0,0,3.0,0,0,0,1,1,497.25,kufar,"Маяковского ул, 100, Минск",https://re.kufar.by/vi/1074516514,Ковальская Слобода,,11.839285714285714
1.0,31.0,24.0,4.0,2.0,25.0,0.08,2023.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.4994740631778,6.0,2.0,0,3.0,1,1,1,1,1,500.0,kufar,"Игоря Лученка ул, 27, Минск",https://re.kufar.by/vi/1072870313,Неморшанский сад,2020-е,16.129032258064516
3.0,59.7,39.7,26.8,5.0,26.0,0.19230769230769232,2019.0,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.3819052085432,6.0,2.0,0,3.0,1,1,1,1,1,1100.0,kufar,"Победителей пр, 135Б, Минск",https://re.kufar.by/vi/1071315461,Кунцевщина,2010-е,18.42546063651591
,149.3,96.0,,8.0,9.0,0.8888888888888888,1998.0,28.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.8115186413002,6.0,2.0,0,3.0,1,0,1,1,1,1600.0,kufar,"Машерова пр, 50, Минск",https://re.kufar.by/vi/1074515254,Немига,1990-е,10.716677829872738
2.0,30.0,12.0,7.5,2.0,9.0,0.2222222222222222,1989.0,37.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503.1139626037257,6.0,2.0,0,3.0,1,1,1,1,1,450.0,kufar,"Победителей пр, 77, Минск",https://re.kufar.by/vi/1074514744,Пушкинская,1980-е,15.0
2.0,32.0,,,2.0,5.0,0.4,1972.0,54.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.5642053931506,6.0,2.0,0,3.0,0,0,1,1,1,370.0,kufar,"Данилы Сердича ул, 60, Минск",https://re.kufar.by/vi/1074514517,Пушкинская,1970-е,11.5625
,55.0,37.0,,5.0,26.0,0.19230769230769232,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3983.8964115678796,6.0,2.0,0,3.0,1,0,0,1,1,970.0,kufar,"Победителей пр, 135В, Минск",https://re.kufar.by/vi/1074514264,Кунцевщина,,17.636363636363637
1.0,41.0,17.0,10.0,7.0,7.0,1.0,2010.0,16.0,False,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.3347519554665,6.0,2.0,0,3.0,1,1,1,1,1,500.0,kufar,"Кунцевщина ул, 21, Минск",https://re.kufar.by/vi/1074514229,Каменная Горка,2010-е,12.195121951219512
5.0,56.0,30.0,10.0,16.0,18.0,0.8888888888888888,2016.0,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.4084734414769,6.0,2.0,0,3.0,1,1,1,1,1,657.08,kufar,"Рогачёвская ул, 1А, Минск",https://re.kufar.by/vi/1074513928,Уручье,2010-е,11.733571428571429
2.0,70.0,60.0,,1.0,8.0,0.125,2014.0,12.0,False,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.2873761031914,6.0,2.0,0,3.0,1,0,1,1,1,700.0,kufar,"Скрыганова ул, 4Д, Минск",https://re.kufar.by/vi/1057355887,Молодёжная,2010-е,10.0
,90.0,56.9,10.1,1.0,5.0,0.2,2020.0,6.0,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0468257864333,6.0,2.0,0,3.0,1,1,1,1,1,1500.0,kufar,"Космонавтов ул, 22, Минск",https://re.kufar.by/vi/1074510289,Малиновка,2020-е,16.666666666666668
,31.0,,,20.0,25.0,0.8,2025.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,481.0097139036291,6.0,2.0,0,3.0,0,0,1,1,1,500.0,kufar,"Игоря Лученка ул, 15, Минск",https://re.kufar.by/vi/1054031206,Аэродромная,2020-е,16.129032258064516
2.0,44.6,35.0,8.0,4.0,5.0,0.8,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.980085742839,6.0,2.0,0,3.0,1,1,0,1,1,400.0,kufar,"Козлова ул, 33А, Минск",https://re.kufar.by/vi/1074509792,Площадь Якуба Коласа,,8.968609865470851
