snapshot_date,source,price_usd,rooms,area_total,area_living,floor,floors_total,company_ad,condition,building_year,location_lat,location_lon,list_time,building_type,ad_id,subject,body_short,price_byn,ad_link,district,balcony,area_code,address,contact_name,area_kitchen,uuid,title,description,street,metro,metro_time,furniture,house_type,metro_station
2026-07-04,kufar,700.0,,39.0,30.0,1.0,24.0,False,10.0,2025.0,53.873787,27.511166,2026-07-04T07:51:55Z,2.0,1075730986,1-ое заселение,"Новая квартира! 1-ое заселение! 1-комн. Стильный ремонт, вся встроенная техника и сантехника, кондиционер, стиралка. Там никто не жил, будете первыми)",2034.34,https://re.kufar.by/vi/1075730986,,1.0,29.0,"Кузьмы Минина ул, Минск",Any,,,,,,,,,,
2026-07-04,kufar,500.0,1.0,33.0,25.0,6.0,,False,5.0,2020.0,53.878644,27.496497,2026-07-04T07:45:58Z,10.0,1075730549,квартира от 15 дней проживания рассматривается,квартира от 15 дней проживания,1453.1,https://re.kufar.by/vi/1075730549,,3.0,29.0,"Гурского ул, 45, Минск",Сергей,5.0,,,,,,,,,
2026-07-04,kufar,1000.0,4.0,60.0,48.1,19.0,20.0,False,5.0,2018.0,53.886636225013966,27.518356720800764,2026-07-04T07:41:13Z,2.0,1072538489,Долгосрочная аренда,Современная уютная квартира с панорамным видом на Грушевский сквер и город с высокого 19 этажа. В квартире есть все для комфортного проживания и отдых,2906.2,https://re.kufar.by/vi/1072538489,55.0,1.0,29.0,"Дзержинского пр, 15, Минск","Наталья, Владимир",22.7,,,,,,,,,
2026-07-04,kufar,516.14,,60.0,42.0,5.0,9.0,False,1.0,2010.0,53.923074,27.442813,2026-07-04T07:39:03Z,1.0,1075729917,Сдается 2-х комнатная квартира на длительный срок,"Сдается на длительный срок светлая просторная двухкомнатная квартира с отличным видом во двор. Две отдельные комнаты, совместный санузел, оснащена меб",1500.0,https://re.kufar.by/vi/1075729917,65.0,3.0,30.0,"Иосифа Жиновича ул, 21, Минск",Павел,13.0,,,,,,,,,
2026-07-04,kufar,344.09,,33.0,,,,True,,,53.876043,27.498742,2026-07-04T07:37:49Z,3.0,1073563865,1-комн квартира ст.м Михалово,1-комн квартира рядом с метро. Все вопросы только по телефону!,1000.0,https://re.kufar.by/vi/1073563865,55.0,1.0,29.0,"Уманская ул, 55, Минск",ООО Атлас недвижимости,,,,,,,,,,
2026-07-04,kufar,420.0,2.0,34.0,17.0,2.0,9.0,False,5.0,1991.0,53.940372,27.684541,2026-07-04T07:16:41Z,1.0,1075725654,Квартира рядом с метро Уручье,"Сдам уютную однокомнатную квартиру,расположенную в шаговой доступности от ст.метро Уручье,(300 м).В квартире есть все необходимое для комфортного отды",1220.6,https://re.kufar.by/vi/1075725654,280.0,3.0,24.0,"Руссиянова ул, 3к2, Минск",Пользователь,8.0,,,,,,,,,
2026-07-04,kufar,550.0,,43.0,29.0,5.0,5.0,False,,1980.0,53.872459,27.634127,2026-07-04T07:11:23Z,3.0,1075106166,Сдам 2х комнатную квартиру на длительный срок,Сдам двухкомнатную квартиру. Квартира сдается на длительный срок. Был кап.ремонт в 2019 году. Станция метро Партизанская в 7 минутах пешком. Этаж 5/5.,1598.41,https://re.kufar.by/vi/1075106166,,1.0,26.0,"Филатова ул, 3А, Минск",Дмитрий,6.0,,,,,,,,,
2026-07-04,kufar,860.23,4.0,87.6,59.0,6.0,9.0,True,,1974.0,53.920773,27.552695,2026-07-04T07:03:58Z,,1075472627,4-комнатная квартира на Червякова 6,"Сдаётся просторная 4-комнатная квартира в одном из лучших районов Minsk — ул. Червякова, 6 (район Червякова–Шевченко).

95 м2 комфорта в кирпичном дом",2500.0,https://re.kufar.by/vi/1075472627,,1.0,22.0,"Червякова ул, 6, Минск",ООО ''АН Клевер'',6.8,,,,,,,,,
2026-07-04,kufar,600.0,3.0,65.0,44.0,3.0,9.0,False,1.0,,53.86436486566602,27.46670012701992,2026-07-04T07:03:03Z,1.0,1075724986,3-комнатная квартира с.м «Петровщина»,"Только гражданам РБ!
Сдаётся светлая , чистая и классная 3-комнатная квартира рядом с метро «Петровщина»,всего 15 мин пешком.
Все три комнаты раздельн",1743.72,https://re.kufar.by/vi/1075724986,320.0,1.0,29.0,"Газеты Звязда пр, 22к1, Минск",Продавец,7.2,,,,,,,,,
2026-07-04,kufar,481.73,1.0,32.0,17.0,5.0,9.0,False,5.0,,53.885267,27.435564,2026-07-04T06:57:13Z,1.0,1072975704,Сдается однокомнатная квартира на длительный срок,"Сдаётся уютная и просторная однокомнатная квартира по адресу ул.Сухаревская д.13. 
Квартира находится на 5 этаже 9-этажного дома. 
Для комфортного про",1400.0,https://re.kufar.by/vi/1072975704,265.0,3.0,30.0,"Сухаревская ул, 13, Минск",Павел,7.1,,,,,,,,,
2026-07-04,kufar,450.0,1.0,32.0,,1.0,4.0,False,5.0,,53.873017,27.626267,2026-07-04T06:53:56Z,,1075724301,Сдаётся уютная 1-комнатная квартира,"Сдаётся уютная 1-комнатная квартира с хорошим ремонтом. Вся мебель новая, включая новый матрас на шикарной кровати. Дом после капремонта, аккуратный и",1307.79,https://re.kufar.by/vi/1075724301,,,26.0,"Народная ул, 31, Минск",Олег,,,,,,,,,,
2026-07-04,kufar,481.73,,60.0,56.0,11.0,12.0,False,1.0,2011.0,53.943143,27.606154,2026-07-04T06:52:22Z,3.0,1075724186,Квартира,"Сдаётся квартира на длительный срок, предоплата первый+ залог 
Прописан один человек комунальныеи+- 100 р+ свет 
По договору, с 5 июля просмотр 
Гражд",1400.0,https://re.kufar.by/vi/1075724186,,1.0,23.0,"Лукьяновича ул, 2, Минск",Татьяна,12.0,,,,,,,,,
2026-07-04,kufar,481.73,4.0,49.0,22.5,5.0,9.0,False,5.0,2010.0,53.912298,27.425045,2026-07-04T06:49:02Z,1.0,1075724026,"Однокомнатная квартира Неманская, 17",Сдается светлая и уютная квартира вблизи метро Каменная горка на длительный срок. Хороший и аккуратный ремонт. Имеется всё необходимое для проживания:,1400.0,https://re.kufar.by/vi/1075724026,105.0,3.0,30.0,"Нёманская ул, 17, Минск",Лариса Бондарчик,10.5,,,,,,,,,
2026-07-04,kufar,550.0,2.0,56.0,31.0,3.0,9.0,False,1.0,2011.0,53.87893,27.481378,2026-07-04T06:47:14Z,1.0,1074697448,2-х ком квартира (аренда) с 01.08.,"С 01.08.2026  сдается от собственник 2-ком  квартира  на длительный срок. Хорошее месторасположение 7-10 минут пешком до метро Михалово, Петровщина от",1598.41,https://re.kufar.by/vi/1074697448,,1.0,29.0,"Янки Брыля ул, 21, Минск",Лилия,9.7,,,,,,,,,
2026-07-04,kufar,344.09,,40.0,,1.0,5.0,False,1.0,,53.913104,27.478881,2026-07-04T06:45:19Z,1.0,1075723827,Квартира,Сдается 2-х комнатная квартира. 5 мин от ст.м. Спортивная. Цена + коммунальные платежи.,1000.0,https://re.kufar.by/vi/1075723827,205.0,1.0,30.0,"Жудро ул, 19, Минск",Елена,,,,,,,,,,
2026-07-04,kufar,1800.0,,133.8,86.6,3.0,24.0,True,,2012.0,53.9115,27.5574,2026-07-04T06:36:05Z,,1063156521,"4-к квартира  Сторожовская ул., 6","Сдается просторная 4-комнатная квартира в престижном Центральном районе Минска, по улице Сторожовская. Это идеальный вариант для комфортной жизни, рас",5231.16,https://re.kufar.by/vi/1063156521,260.0,3.0,22.0,"Сторожовская ул, 6, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1200.0,,106.0,,2.0,5.0,True,,2015.0,53.9283,27.5412,2026-07-04T06:35:50Z,,1057738650,"4-к квартира  Нововиленская ул., 7/б","Современная 4-комнатная квартира в Парке Победы на Комсомольском озере.  

  

 Сдаётся просторная и светлая квартира в современном доме 2015 года в о",3487.44,https://re.kufar.by/vi/1057738650,,3.0,22.0,"Нововиленская ул, 7А, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,950.0,,109.0,66.3,4.0,9.0,True,,2002.0,53.8951,27.5727,2026-07-04T06:35:21Z,,1059440907,"4-к квартира  Казарменный пер., 4","Сдается в аренду просторная 4-комнатная квартира в Минске, расположенная по адресу: ул. Казарменный пер., в Ленинском районе. Это идеальное предложени",2760.89,https://re.kufar.by/vi/1059440907,,3.0,27.0,"Казарменный переулок, 4, Минск",ООО ТВОЯ СТОЛИЦА,11.7,,,,,,,,,
2026-07-04,kufar,880.0,6.0,85.0,,14.0,16.0,False,,2025.0,53.930284,27.695132,2026-07-04T06:33:11Z,,1075722584,Сдаётся 3-комнатная квартира в Уручье,"Сдаётся новая (в новом доме), уютная 3-комнатная квартира с мебелью и техникой. Красивый вид из окна: во дворе живописный пруд с утками и парк валунов",2557.46,https://re.kufar.by/vi/1075722584,,4.0,24.0,"Академика Купревича ул, 16, Минск",Наталья,,,,,,,,,,
2026-07-04,kufar,850.0,,64.6,42.2,4.0,12.0,True,,1991.0,53.9029,27.5487,2026-07-04T06:31:30Z,,1051518372,"3-к квартира  Немига ул., 14","Трехкомнатная квартира в самом центре г. Минска. Общая площадь 64,6 м. кв.  Для комфортного проживания квартира укомплектована всей необходимой мебель",2470.27,https://re.kufar.by/vi/1051518372,,3.0,22.0,"Немига ул, 12, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,500.0,,45.0,18.0,16.0,25.0,False,10.0,2015.0,53.865717,27.483812,2026-07-04T06:31:11Z,10.0,1070740478,Стильная 1-я квартира у метро Петровщина,"Стильная квартира, полностью готова к проживанию, имеется все - кондиционер, бойлер, телевизор, стиральная и посудомоечная машина, кофеварка, аэрогрил",1453.1,https://re.kufar.by/vi/1070740478,320.0,3.0,29.0,"Газеты Правда пр, 17, Минск",Ирина,11.0,,,,,,,,,
2026-07-04,kufar,900.0,,89.3,68.5,9.0,10.0,True,,2015.0,53.9354,27.5928,2026-07-04T06:31:11Z,,1072960101,"3-к квартира  Беды ул., 26","Ищете комфортную 3-комнатную квартиру в аренду в Минске? Предлагается просторная квартира в престижном Советском районе, на улице Беды. Идеальный вари",2615.58,https://re.kufar.by/vi/1072960101,220.0,3.0,23.0,"Леонида Беды ул, 26, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
